,Time,qo_lc[m3/d],qw_lc[m3/d],qg_lc[m3/d],qo_sc[Sm3/d],qw_sc[Sm3/d],qg_sc[Sm3/d],qo_scnp[Sm3/d],qw_scnp[Sm3/d],qg_scnp[Sm3/d],Fo_lc[%],Fw_lc[%],Fg_lc[%],WLR[%],GVF[%],GLR[m3/m3],BSW[%],GOR[Sm3/Sm3],GOR1[Sm3/Sm3],mo_lc[kg/d],mw_lc[kg/d],mg_lc[kg/d],m_lc[kg/d],mo_sc[kg/d],mw_sc[kg/d],mg_sc[kg/d],Mu_o_lc[cP],Mu_l_lc[cP],Do_lc[g/cm3],Dw_lc[g/cm3],Dg_lc[g/cm3],Dm_lc[g/cm3],Dl_lc[g/cm3],bo[Sm3/m3],bw[Sm3/m3],bg[Sm3/m3],Z,Rst[Sm3/Sm3],Rwst[Sm3/Sm3],rgmp[Sm3/Sm3],N32[cps],N81[cps],N356[cps],NTotal[cps],DeadTime[s],SampleTime[s],DPV[mbar],PL[bara],TL[DegC],TAMB[DegC],Dyn_DP[mbar],OperatingPointLE[1/m],OperatingPointHE[1/m],OilPointLE[1/m],OilPointHE[1/m],WaterPointLE[1/m],WaterPointHE[1/m],GasPointLE[1/m],GasPointHE[1/m]
186,186,71.201,0.67865,3198.0,70.629,0.68295,78331.0,70.629,0.68295,77407.0,3.5118,0.006118,96.482,0.97353,97.808,45.707,0.98745,1138.9,1125.8,63010.0,885.38,58623,122520.0,62150.0,885.41,59361,128.43,129.72,0.88425,1.3046,0.018342,0.048829,0.88839,0.99198,1.0063,24.203,0.94292,13.069,0.026968,0.0,44229.0,21900.0,32569.0,114320.0,0.071251,1.0,1072.1,21.672,-2.566,19.989,1069.4,1.2634,0.78571,23.566,14.779,171.01,25.097,0.49625,0.32991
187,187,84.799,0.31663,3213.2,84.121,0.31864,78990.0,84.121,0.31864,77888.0,4.4174,-0.011471,95.594,0.47892,97.429,39.799,0.4857,990.5,977.41,75051.0,413.09,58978,138800.0,74022.0,413.1,59860,129.22,129.92,0.88431,1.3047,0.018369,0.056473,0.88651,0.99203,1.0064,24.239,0.94279,13.088,0.026846,0.0,44025.0,21822.0,32512.0,113920.0,0.071025,1.0,1102.0,21.693,-2.6692,20.048,1088.9,1.3478,0.85697,23.568,14.781,171.01,25.097,0.49517,0.32919
188,188,120.68,-0.87238,3443.5,119.65,-0.87793,86569.0,119.65,-0.87793,84973.0,5.6587,-0.056107,94.397,-0.71159,96.641,28.837,-0.7224,725.9,712.57,106790.0,-1138.2,64316,170940.0,105290.0,-1138.2,65604,126.98,126.98,0.8841,1.3047,0.018699,0.066949,0.8841,0.99152,1.0064,24.675,0.9418,13.333,0.027362,0.0,43768.0,21716.0,32395.0,113390.0,0.070684,1.0,1297.7,22.063,-2.6298,20.107,1279.9,1.5483,1.02,23.567,14.781,171.01,25.098,0.4988,0.33161
189,189,115.38,-0.66123,3634.9,114.35,-0.66541,92199.0,114.35,-0.66541,90657.0,4.8998,0.023727,95.076,-0.57268,96.941,31.899,-0.58157,811.8,798.32,102080.0,-862.64,68621,170520.0,100620.0,-862.67,69871,123.46,123.46,0.88379,1.3046,0.018901,0.061584,0.8838,0.991,1.0063,24.941,0.94132,13.483,0.028065,0.0,43811.0,21769.0,32467.0,113550.0,0.070825,1.0,1395.5,22.312,-2.3597,20.146,1392.4,1.6917,1.0969,23.561,14.777,171.01,25.097,0.50647,0.33671
190,190,123.81,0.11934,3763.6,122.62,0.12009,97206.0,122.62,0.12009,95523.0,4.8928,-0.018329,95.126,0.096355,96.81,30.618,0.097903,799.27,785.54,109510.0,155.68,72293,177570.0,107900.0,155.69,73665,119.88,120.02,0.88345,1.3046,0.019231,0.061281,0.88395,0.99035,1.0063,25.376,0.94043,13.728,0.028864,0.0,43887.0,21775.0,32447.0,113620.0,0.070847,1.0,1547.2,22.698,-2.1477,20.183,1540.1,1.6915,1.0734,23.553,14.772,171.0,25.096,0.51293,0.341
191,191,76.309,-0.057411,3598.2,75.601,-0.057771,90759.0,75.601,-0.057771,89736.0,3.183,-0.001436,96.818,-0.070466,97.921,51.965,-0.071548,1318.6,1305.1,67494.0,-74.895,67953,135480.0,66524.0,-74.898,68779,121.23,121.29,0.8836,1.3045,0.018896,0.046402,0.88379,0.9908,1.0063,24.935,0.94147,13.48,0.028469,0.0,44321.0,21924.0,32581.0,114460.0,0.071333,1.0,1329.5,22.331,-2.0982,20.205,1343.1,1.4632,0.93802,23.548,14.768,171.0,25.095,0.51561,0.34278
192,192,51.402,0.49493,3376.6,50.95,0.49804,83856.0,50.95,0.49804,83177.0,2.0257,0.11017,97.864,1.0537,98.496,67.132,1.0693,1698.4,1685.1,45472.0,645.66,63003,106340.0,44833.0,645.68,63549,123.68,125.04,0.88384,1.3046,0.018661,0.037603,0.88832,0.99125,1.0063,24.625,0.94211,13.306,0.027924,0.0,44416.0,22008.0,32630.0,114660.0,0.071508,1.0,1195.8,22.058,-2.2355,20.233,1214.4,1.2528,0.77597,23.551,14.77,171.0,25.095,0.51,0.33905
193,193,52.953,1.5732,3149.5,52.525,1.5832,76799.0,52.525,1.5832,76114.0,2.8378,0.018497,97.144,2.8705,98.298,58.782,2.9108,1487.8,1474.8,46856.0,2052.4,57653,109140.0,46219.0,2052.5,58200,127.32,131.18,0.88417,1.3046,0.018314,0.043123,0.89637,0.99191,1.0063,24.166,0.94307,13.048,0.027142,0.0,44390.0,21951.0,32655.0,114650.0,0.071544,1.0,1036.4,21.654,-2.4274,20.25,1044.9,1.1801,0.69854,23.559,14.775,171.0,25.096,0.50166,0.33351
194,194,60.394,0.99236,3044.7,59.925,0.99865,73863.0,59.925,0.99865,73086.0,2.9707,0.051769,96.978,1.648,98.024,49.881,1.6709,1240.4,1227.4,53450.0,1294.7,55357,108650.0,52731.0,1294.7,55975,129.81,132.03,0.88438,1.3046,0.018191,0.044589,0.89134,0.99225,1.0063,24.004,0.94336,12.957,0.026674,0.0,44288.0,21940.0,32574.0,114460.0,0.071337,1.0,983.31,21.5,-2.6215,20.262,983.54,1.1992,0.73695,23.567,14.78,171.01,25.097,0.49388,0.32833
195,195,79.834,0.69026,3155.0,79.21,0.69467,77365.0,79.21,0.69467,76329.0,4.1609,0.020132,95.819,0.85786,97.518,40.431,0.87002,1006.2,993.13,70666.0,900.59,57801,132240.0,69701.0,900.61,58629,130.96,132.12,0.88445,1.3047,0.018332,0.054629,0.88811,0.99221,1.0064,24.191,0.94282,13.061,0.026545,0.0,44029.0,21838.0,32498.0,113920.0,0.071018,1.0,1063.7,21.637,-2.8316,20.275,1048.7,1.3219,0.82321,23.571,14.783,171.01,25.098,0.49225,0.32725
196,196,115.9,0.35586,3423.7,114.93,0.35814,86118.0,114.93,0.35814,84583.0,5.5842,-0.030209,94.446,0.35156,96.723,29.831,0.35665,758.83,745.48,102580.0,464.3,64023,169890.0,101130.0,464.31,65263,129.01,129.53,0.88426,1.3047,0.018719,0.066663,0.8859,0.99168,1.0064,24.7,0.94163,13.347,0.027022,0.0,43736.0,21719.0,32383.0,113330.0,0.070638,1.0,1295.9,22.063,-2.8624,20.293,1275.5,1.5605,0.9882,23.571,14.783,171.02,25.099,0.4981,0.33114
197,197,119.4,-0.052498,3642.7,118.33,-0.052831,92651.0,118.33,-0.052831,91052.0,5.0329,0.035573,94.932,-0.042996,96.829,30.606,-0.04366,785.11,771.59,105650.0,-68.491,68916,173040.0,104120.0,-68.493,70213,124.73,124.77,0.88389,1.3046,0.018943,0.062932,0.88403,0.99108,1.0063,24.996,0.94111,13.513,0.027855,0.0,43756.0,21755.0,32416.0,113430.0,0.070681,1.0,1412.4,22.342,-2.5295,20.301,1410.8,1.7374,1.1082,23.565,14.779,171.02,25.098,0.50718,0.33718
198,198,127.49,0.54021,3780.3,126.26,0.5436,97801.0,126.26,0.5436,96065.0,5.1258,0.057523,94.817,0.42197,96.725,29.798,0.42877,781.56,767.81,112770.0,704.73,72699,186100.0,111100.0,704.75,74116,120.34,120.85,0.88349,1.3046,0.019255,0.064297,0.88527,0.99037,1.0063,25.409,0.94032,13.746,0.028789,0.0,43675.0,21741.0,32375.0,113300.0,0.070619,1.0,1580.1,22.718,-2.2162,20.319,1562.3,1.7605,1.1031,23.555,14.773,171.01,25.097,0.51368,0.3415
199,199,68.649,0.73075,3714.1,68.005,0.73532,93915.0,68.005,0.73532,92993.0,2.9715,0.0061956,97.022,1.0801,98.164,57.17,1.0968,1473.3,1459.7,60716.0,953.28,70425,133770.0,59841.0,953.31,71171,120.47,121.82,0.88353,1.3045,0.018961,0.044733,0.88811,0.99066,1.0062,25.021,0.94129,13.529,0.028637,0.0,44363.0,21941.0,32591.0,114490.0,0.071302,1.0,1362.2,22.408,-2.0501,20.338,1379.4,1.5572,0.95711,23.548,14.768,171.0,25.096,0.51758,0.34409
200,200,88.977,0.59055,3605.2,88.157,0.59425,91262.0,88.157,0.59425,90070.0,3.7626,-0.0076272,96.245,0.61946,97.581,41.357,0.62912,1061.3,1047.8,78702.0,770.4,68198,145420.0,77573.0,770.42,69161,121.75,122.53,0.88365,1.3045,0.018931,0.051368,0.8863,0.99081,1.0063,24.981,0.94132,13.506,0.028388,0.0,44176.0,21876.0,32537.0,114190.0,0.071133,1.0,1321.7,22.362,-2.1815,20.353,1338.3,1.3421,0.84558,23.549,14.769,171.0,25.095,0.51323,0.3412
201,201,65.993,-0.15205,3238.6,65.439,-0.15301,79730.0,65.439,-0.15301,78869.0,2.842,0.014833,97.143,-0.21593,98.013,50.354,-0.21915,1246.9,1233.8,58386.0,-198.37,59733,113360.0,57583.0,-198.37,60422,125.63,125.66,0.88402,1.3046,0.018453,0.043243,0.88413,0.99163,1.0063,24.35,0.9427,13.151,0.027491,0.0,44393.0,21955.0,32659.0,114680.0,0.071467,1.0,1082.8,21.818,-2.3266,20.367,1095.7,1.2934,0.83415,23.555,14.773,171.0,25.096,0.50673,0.33688
202,202,54.893,1.1072,3043.3,54.452,1.1142,74296.0,54.452,1.1142,73584.0,2.6249,0.13599,97.239,1.8272,98.201,56.668,1.8531,1417.8,1404.7,48575.0,1444.5,55736,106420.0,47915.0,1444.5,56303,128.05,130.5,0.88422,1.3046,0.018323,0.042802,0.89197,0.99197,1.0063,24.178,0.943,13.055,0.027022,0.0,44215.0,21954.0,32581.0,114350.0,0.071248,1.0,1013.1,21.656,-2.5137,20.383,1014.3,1.2289,0.74139,23.563,14.777,171.0,25.096,0.4978,0.33094
203,203,67.283,2.2729,3096.6,66.747,2.2874,75994.0,66.747,2.2874,75119.0,3.6304,0.059813,96.31,3.3046,97.812,45.798,3.3506,1170.6,1157.5,59548.0,2965.4,56891,123040.0,58734.0,2965.4,57590,129.71,134.2,0.88435,1.3047,0.018381,0.050588,0.89826,0.99206,1.0064,24.255,0.94272,13.097,0.026771,0.0,44091.0,21879.0,32539.0,114080.0,0.071123,1.0,1037.2,21.701,-2.7288,20.409,1026.8,1.3367,0.7752,23.568,14.781,171.01,25.097,0.49529,0.32927
204,204,104.82,1.8014,3392.6,103.94,1.8129,85155.0,103.94,1.8129,83767.0,5.2628,0.0012767,94.736,1.7679,96.965,32.615,1.7936,839.95,826.6,92769.0,2350.3,63414,162090.0,91461.0,2350.3,64533,128.69,131.04,0.88423,1.3047,0.018709,0.064275,0.89168,0.99166,1.0064,24.688,0.94167,13.34,0.027073,0.0,43765.0,21740.0,32420.0,113450.0,0.070752,1.0,1248.6,22.056,-2.8222,20.424,1228.3,1.5289,0.92556,23.569,14.782,171.02,25.098,0.4992,0.33187
205,205,126.29,0.23134,3602.7,125.16,0.23282,92042.0,125.16,0.23282,90345.0,5.3563,0.01848,94.625,0.18754,96.606,28.671,0.1904,740.51,726.95,111750.0,301.84,68375,176580.0,110140.0,301.84,69752,124.75,125.1,0.88389,1.3047,0.019004,0.065567,0.88504,0.99103,1.0064,25.076,0.9409,13.559,0.027876,0.0,43700.0,21732.0,32435.0,113350.0,0.070691,1.0,1415.4,22.406,-2.5693,20.447,1410.9,1.7407,1.1048,23.564,14.779,171.02,25.098,0.50754,0.33742
206,206,123.16,0.12307,3744.6,121.99,0.12384,96330.0,121.99,0.12384,94661.0,5.3017,0.011807,94.687,0.077856,96.816,30.626,0.079145,795.23,781.55,108940.0,160.55,71643,184900.0,107350.0,160.55,73001,121.06,121.28,0.88356,1.3046,0.019156,0.065135,0.88432,0.99054,1.0063,25.277,0.94061,13.672,0.02861,0.0,43716.0,21735.0,32376.0,113330.0,0.070674,1.0,1498.2,22.605,-2.2405,20.472,1483.4,1.7628,1.1185,23.556,14.773,171.01,25.097,0.51364,0.34147
207,207,95.564,0.18264,3794.6,94.623,0.18378,97718.0,94.623,0.18378,96414.0,3.5142,0.027864,96.458,0.25607,97.554,43.541,0.26015,1131.6,1117.8,84511.0,238.26,72992,150520.0,83263.0,238.27,74054,118.71,119.06,0.88335,1.3045,0.01925,0.049971,0.88458,0.99022,1.0062,25.401,0.94043,13.743,0.029092,0.0,44161.0,21884.0,32553.0,114160.0,0.071191,1.0,1469.7,22.731,-2.0205,20.484,1494.8,1.6641,1.05,23.547,14.768,171.0,25.096,0.51903,0.34505
208,208,80.996,0.81498,3585.9,80.237,0.82008,90987.0,80.237,0.82008,89897.0,3.4122,0.053403,96.534,0.97751,97.777,46.207,0.99275,1191.6,1178.0,71638.0,1063.2,68071,141290.0,70604.0,1063.2,68952,121.0,122.22,0.88358,1.3045,0.018996,0.049183,0.88771,0.99068,1.0063,25.067,0.94114,13.554,0.028552,0.0,44148.0,21895.0,32544.0,114170.0,0.071165,1.0,1335.7,22.439,-2.1353,20.505,1333.7,1.4165,0.87495,23.546,14.767,171.0,25.095,0.51715,0.3438
209,209,53.833,1.2521,3341.9,53.363,1.26,83005.0,53.363,1.26,82295.0,2.4303,0.091037,97.479,2.2841,98.377,61.315,2.3178,1572.5,1559.2,47621.0,1633.5,62334,112210.0,46956.0,1633.5,62903,123.83,126.79,0.88385,1.3046,0.018657,0.040856,0.89351,0.99127,1.0063,24.619,0.94211,13.303,0.027894,0.0,44341.0,21977.0,32584.0,114550.0,0.071392,1.0,1152.7,22.052,-2.2511,20.535,1170.0,1.312,0.78452,23.551,14.77,171.0,25.095,0.5108,0.33959
210,210,62.503,1.1441,3110.1,61.991,1.1513,76260.0,61.991,1.1513,75448.0,3.0153,0.044428,96.94,1.7587,98.001,50.194,1.784,1261.9,1248.8,55304.0,1492.5,57144,113030.0,54549.0,1492.6,57792,127.04,129.35,0.88414,1.3046,0.018383,0.045059,0.89156,0.99182,1.0063,24.257,0.94286,13.099,0.027218,0.0,44293.0,21939.0,32608.0,114470.0,0.071304,1.0,1038.1,21.729,-2.4398,20.565,1040.6,1.2323,0.75204,23.559,14.775,171.0,25.096,0.50229,0.33393
211,211,63.316,0.88669,3110.7,62.81,0.89232,76207.0,62.81,0.89232,75385.0,3.1758,0.08537,96.739,1.4194,97.986,50.686,1.4395,1269.3,1256.2,56034.0,1156.8,57095,116610.0,55270.0,1156.9,57752,129.12,131.02,0.8843,1.3047,0.018365,0.046963,0.8903,0.99202,1.0064,24.234,0.94281,13.085,0.026862,0.0,44165.0,21913.0,32567.0,114240.0,0.07121,1.0,1037.6,21.69,-2.6555,20.58,1035.3,1.2831,0.78531,23.565,14.779,171.01,25.097,0.49683,0.3303
212,212,98.534,2.2831,3293.9,97.726,2.2977,82142.0,97.726,2.2977,80846.0,4.9459,0.013443,95.041,2.3365,97.037,33.07,2.3699,851.41,838.15,87211.0,2978.7,61207,152730.0,85993.0,2978.8,62249,129.2,132.35,0.88429,1.3047,0.018598,0.061587,0.89413,0.99181,1.0064,24.542,0.94202,13.258,0.026942,0.0,43830.0,21769.0,32476.0,113590.0,0.070806,1.0,1195.2,21.935,-2.8095,20.603,1175.6,1.4725,0.87542,23.569,14.781,171.01,25.098,0.49776,0.33091
213,213,124.75,0.98705,3616.3,123.66,0.99335,91770.0,123.66,0.99335,90104.0,5.6358,0.021845,94.342,0.82834,96.642,28.958,0.84071,747.5,734.03,110400.0,1287.8,68194,181620.0,108820.0,1287.8,69546,126.32,127.41,0.88403,1.3047,0.018881,0.067919,0.88755,0.99128,1.0064,24.915,0.94123,13.468,0.02755,0.0,43617.0,21704.0,32355.0,113200.0,0.070608,1.0,1413.8,22.261,-2.6687,20.624,1398.6,1.7162,1.0659,23.567,14.78,171.02,25.098,0.5041,0.33513
214,214,116.71,0.90593,3708.6,115.65,0.91164,94291.0,115.65,0.91164,92728.0,4.7961,0.066502,95.137,0.76699,96.925,31.719,0.77882,819.96,806.45,103250.0,1181.9,70185,173730.0,101760.0,1181.9,71457,122.79,123.76,0.88373,1.3046,0.018949,0.06128,0.88697,0.9909,1.0063,25.004,0.9412,13.519,0.028205,0.0,43748.0,21773.0,32430.0,113460.0,0.070829,1.0,1470.1,22.37,-2.3136,20.641,1463.7,1.7875,1.1056,23.56,14.776,171.01,25.098,0.51008,0.3391
215,215,120.5,0.64755,3856.3,119.33,0.65161,99387.0,119.33,0.65161,97751.0,4.6949,-0.022666,95.328,0.51383,96.955,32.148,0.52204,840.56,826.84,106580.0,844.75,73981,177300.0,105000.0,844.77,75318,119.41,120.06,0.88342,1.3045,0.019209,0.059491,0.88566,0.99033,1.0063,25.347,0.94053,13.712,0.028942,0.0,43945.0,21793.0,32446.0,113720.0,0.070899,1.0,1584.6,22.68,-2.079,20.665,1587.4,1.7092,1.071,23.552,14.771,171.0,25.096,0.514,0.34171
216,216,74.667,-0.097275,3678.2,73.976,-0.097884,92621.0,73.976,-0.097884,91622.0,3.1448,0.017494,96.838,-0.10394,98.008,52.95,-0.10558,1343.9,1330.4,66043.0,-126.9,69382,137990.0,65095.0,-126.9,70190,120.99,121.04,0.88359,1.3045,0.018876,0.046295,0.88376,0.99079,1.0062,24.908,0.94155,13.465,0.028504,0.0,44287.0,21926.0,32545.0,114360.0,0.071305,1.0,1379.2,22.312,-2.0571,20.692,1388.5,1.4467,0.92871,23.547,14.768,171.0,25.095,0.51528,0.34256
217,217,61.78,0.65813,3506.3,61.238,0.66225,87015.0,61.238,0.66225,86201.0,2.4399,0.092978,97.467,1.1174,98.259,57.665,1.134,1458.7,1445.4,54653.0,858.55,65286,117590.0,53886.0,858.58,65942,123.36,124.8,0.88381,1.3045,0.018626,0.040931,0.88858,0.99125,1.0063,24.578,0.94225,13.28,0.027965,0.0,44331.0,21978.0,32568.0,114510.0,0.071393,1.0,1241.6,22.024,-2.1771,20.721,1260.1,1.2728,0.78338,23.551,14.77,170.99,25.095,0.50907,0.33843
218,218,49.576,1.7836,3155.9,49.174,1.7948,76781.0,49.174,1.7948,76140.0,2.3615,0.11634,97.522,3.5141,98.402,63.115,3.5631,1604.5,1591.5,43866.0,2326.8,57675,104220.0,43270.0,2326.9,58186,126.69,131.42,0.88412,1.3046,0.018282,0.040226,0.89902,0.99188,1.0063,24.125,0.94321,13.025,0.027233,0.0,44329.0,21983.0,32644.0,114600.0,0.071436,1.0,1063.7,21.627,-2.3386,20.748,1071.9,1.2421,0.7176,23.558,14.775,171.0,25.095,0.50066,0.33284
219,219,66.168,1.7283,3123.9,65.65,1.7392,75812.0,65.65,1.7392,74961.0,3.3597,-0.012802,96.653,2.5498,97.874,46.235,2.5851,1160.4,1147.4,58558.0,2254.7,56773,116420.0,57768.0,2254.8,57452,128.88,132.3,0.8843,1.3046,0.018184,0.047118,0.89503,0.99217,1.0063,23.995,0.94343,12.952,0.026825,0.0,44317.0,21914.0,32617.0,114470.0,0.071366,1.0,1031.8,21.502,-2.5168,20.768,1031.3,1.2338,0.7414,23.565,14.779,171.0,25.096,0.49328,0.32793
220,220,83.691,0.42086,3278.1,83.032,0.42354,80340.0,83.032,0.42354,79255.0,4.2065,0.040712,95.753,0.51731,97.509,40.628,0.52468,1007.0,993.99,74079.0,549.08,60013,139920.0,73063.0,549.1,60884,129.98,130.67,0.88438,1.3047,0.018319,0.055273,0.88657,0.99214,1.0064,24.174,0.94292,13.052,0.0267,0.0,43981.0,21830.0,32534.0,113910.0,0.071043,1.0,1150.4,21.633,-2.7192,20.798,1130.0,1.3263,0.83524,23.569,14.782,171.01,25.097,0.49204,0.32711
221,221,111.6,1.1488,3600.1,110.66,1.1561,90138.0,110.66,1.1561,88665.0,5.102,0.034011,94.864,1.0132,96.968,32.2,1.0281,820.83,807.53,98776.0,1498.8,67115,169290.0,97379.0,1498.8,68309,128.04,129.37,0.88419,1.3047,0.018662,0.063258,0.88846,0.99165,1.0064,24.626,0.94187,13.305,0.027166,0.0,43741.0,21752.0,32404.0,113400.0,0.070705,1.0,1365.3,22.013,-2.7224,20.829,1349.3,1.5815,0.9735,23.569,14.782,171.01,25.098,0.49742,0.33069
222,222,118.7,0.67818,3721.9,117.64,0.68247,94147.0,117.64,0.68247,92566.0,4.907,0.031317,95.062,0.57808,96.892,31.525,0.58689,809.21,795.76,105030.0,884.76,70060,174430.0,103520.0,884.79,71347,124.09,124.83,0.88385,1.3046,0.018847,0.061696,0.88631,0.99111,1.0063,24.87,0.94146,13.443,0.027929,0.0,43785.0,21767.0,32386.0,113480.0,0.070808,1.0,1481.1,22.249,-2.3986,20.858,1473.2,1.7193,1.0737,23.563,14.778,171.01,25.098,0.50524,0.33589
223,223,117.13,0.97417,3912.8,116.0,0.98027,100630.0,116.0,0.98027,99046.0,4.4903,0.067806,95.442,0.84039,97.071,33.903,0.85381,887.87,874.17,103600.0,1270.8,74963,178970.0,102070.0,1270.9,76264,119.8,120.84,0.88345,1.3045,0.019183,0.058864,0.88702,0.99039,1.0063,25.313,0.94059,13.692,0.028857,0.0,43818.0,21790.0,32412.0,113520.0,0.070841,1.0,1627.4,22.648,-2.109,20.884,1623.9,1.7079,1.053,23.554,14.772,171.0,25.096,0.51156,0.34009
224,224,73.893,0.81158,3704.0,73.206,0.81665,93101.0,73.206,0.81665,92112.0,3.0109,0.017019,96.972,1.1271,98.041,56.246,1.1443,1434.6,1421.2,65358.0,1058.7,69752,134910.0,64417.0,1058.7,70554,120.93,122.35,0.88359,1.3045,0.018836,0.045091,0.88838,0.99082,1.0062,24.856,0.94168,13.436,0.028496,0.0,44324.0,21936.0,32591.0,114480.0,0.071406,1.0,1402.4,22.271,-2.0262,20.904,1413.4,1.4874,0.91431,23.548,14.768,171.0,25.095,0.51418,0.34183
225,225,64.602,0.46057,3507.9,64.033,0.46345,86969.0,64.033,0.46345,86118.0,2.6645,0.022201,97.313,0.75755,98.198,57.097,0.76883,1434.7,1421.5,57148.0,600.83,65221,120730.0,56345.0,600.84,65908,123.23,124.19,0.88381,1.3045,0.018595,0.041932,0.88701,0.99127,1.0063,24.537,0.94236,13.257,0.027974,0.0,44419.0,21969.0,32623.0,114630.0,0.071514,1.0,1249.0,21.992,-2.1428,20.924,1273.9,1.2567,0.78743,23.551,14.77,170.99,25.095,0.50855,0.33809
226,226,45.478,0.67725,3117.1,45.114,0.6815,75348.0,45.114,0.6815,74764.0,2.1697,0.050455,97.78,1.5151,98.543,68.4,1.5364,1692.6,1679.7,40241.0,883.51,56634,97933.0,39698.0,883.53,57101,126.98,128.99,0.88415,1.3045,0.018175,0.037614,0.89058,0.99201,1.0063,23.984,0.94356,12.946,0.027137,0.0,44503.0,22010.0,32642.0,114820.0,0.071624,1.0,1050.5,21.511,-2.3034,20.943,1059.4,1.1437,0.70487,23.558,14.775,171.0,25.095,0.49912,0.33182
227,227,46.959,1.0306,3015.8,46.6,1.0371,72371.0,46.6,1.0371,71772.0,2.3364,0.063091,97.601,2.1481,98.44,65.309,2.1776,1613.2,1600.4,41559.0,1344.5,54367,97040.0,41005.0,1344.6,54844,129.35,132.23,0.88435,1.3046,0.018035,0.039087,0.8934,0.99235,1.0063,23.798,0.9439,12.841,0.026682,0.0,44440.0,21998.0,32593.0,114690.0,0.071515,1.0,991.38,21.339,-2.4736,20.974,991.93,1.0855,0.65871,23.566,14.78,171.0,25.096,0.49002,0.32577
228,228,71.811,2.1077,3190.1,71.253,2.1211,77647.0,71.253,2.1211,76721.0,3.7845,0.047403,96.168,2.8893,97.748,44.847,2.9292,1131.4,1118.4,63562.0,2749.8,58101,128470.0,62699.0,2749.9,58843,130.12,134.08,0.8844,1.3047,0.018222,0.051611,0.89666,0.99224,1.0064,24.045,0.94323,12.98,0.026637,0.0,44074.0,21871.0,32482.0,114010.0,0.0711,1.0,1098.5,21.53,-2.674,20.991,1082.7,1.2439,0.73289,23.57,14.782,171.01,25.097,0.48866,0.32487
229,229,111.6,0.74902,3442.0,110.69,0.7538,85705.0,110.69,0.7538,84241.0,5.1553,0.0028664,94.842,0.75842,96.847,31.369,0.76925,793.32,780.1,98784.0,977.24,63766,163330.0,97400.0,977.27,64949,128.74,129.85,0.88426,1.3047,0.018545,0.063212,0.88779,0.99182,1.0064,24.471,0.94222,13.219,0.027001,0.0,43789.0,21754.0,32408.0,113490.0,0.070777,1.0,1305.6,21.883,-2.7255,21.008,1286.3,1.4911,0.93604,23.57,14.782,171.01,25.098,0.49446,0.32872
230,230,116.42,0.16593,3679.4,115.4,0.16697,92588.0,115.4,0.16697,91045.0,4.9215,0.060294,95.018,0.1403,96.929,31.589,0.14243,803.04,789.67,103010.0,216.46,68912,173570.0,101550.0,216.47,70166,124.76,125.0,0.88392,1.3046,0.018752,0.062106,0.88473,0.99126,1.0063,24.744,0.94175,13.373,0.027771,0.0,43740.0,21761.0,32446.0,113470.0,0.070738,1.0,1437.0,22.142,-2.415,21.027,1430.6,1.6961,1.0735,23.565,14.779,171.01,25.098,0.50235,0.33397
231,231,128.55,1.1878,3862.7,127.32,1.1952,99355.0,127.32,1.1952,97612.0,5.0965,0.025983,94.878,0.91562,96.757,30.045,0.93013,786.58,772.91,113710.0,1549.5,73866,187190.0,112030.0,1549.5,75294,119.94,121.06,0.88347,1.3045,0.019145,0.063529,0.88733,0.99043,1.0063,25.263,0.94071,13.665,0.028821,0.0,43746.0,21747.0,32411.0,113400.0,0.070733,1.0,1631.7,22.607,-2.0992,21.038,1609.3,1.7468,1.0712,23.556,14.773,171.0,25.096,0.50893,0.33834
232,232,64.556,0.051358,3675.2,63.955,0.051678,91924.0,63.955,0.051678,91063.0,2.4058,-0.0015421,97.596,0.024795,98.312,64.887,0.025244,1627.2,1613.8,57095.0,66.997,68964,122650.0,56277.0,66.999,69662,120.43,120.56,0.88355,1.3045,0.018754,0.039536,0.88401,0.99085,1.0062,24.747,0.94199,13.375,0.028552,0.0,44533.0,21992.0,32690.0,114870.0,0.071665,1.0,1361.8,22.19,-1.9156,21.056,1400.3,1.4967,0.95761,23.547,14.768,170.99,25.095,0.51394,0.34167
233,233,58.408,0.32427,3399.8,57.913,0.32629,83247.0,57.913,0.32629,82488.0,2.6087,0.024014,97.367,0.60149,98.306,59.795,0.61025,1485.3,1472.2,51672.0,423.01,62477,114030.0,50961.0,423.02,63087,124.11,124.91,0.8839,1.3045,0.018385,0.041272,0.88653,0.99155,1.0062,24.26,0.94301,13.101,0.027722,0.0,44438.0,21973.0,32653.0,114710.0,0.071571,1.0,1169.1,21.761,-2.1128,21.069,1183.1,1.1512,0.72906,23.551,14.77,170.99,25.094,0.50462,0.33547
234,234,54.477,0.47542,3116.0,54.051,0.4784,74963.0,54.051,0.4784,74268.0,2.7594,-0.023589,97.264,0.90112,98.269,57.734,0.91381,1413.3,1400.4,48206.0,620.2,56255,105390.0,47562.0,620.22,56809,127.54,128.77,0.88421,1.3045,0.018061,0.041658,0.88819,0.99217,1.0063,23.833,0.94391,12.861,0.026993,0.0,44503.0,21974.0,32671.0,114770.0,0.071527,1.0,1018.1,21.384,-2.2924,21.077,1027.3,1.118,0.70214,23.56,14.776,170.99,25.095,0.49414,0.3285
