,Time,qo_lc[m3/d],qw_lc[m3/d],qg_lc[m3/d],qo_sc[Sm3/d],qw_sc[Sm3/d],qg_sc[Sm3/d],qo_scnp[Sm3/d],qw_scnp[Sm3/d],qg_scnp[Sm3/d],Fo_lc[%],Fw_lc[%],Fg_lc[%],WLR[%],GVF[%],GLR[m3/m3],BSW[%],GOR[Sm3/Sm3],GOR1[Sm3/Sm3],mo_lc[kg/d],mw_lc[kg/d],mg_lc[kg/d],m_lc[kg/d],mo_sc[kg/d],mw_sc[kg/d],mg_sc[kg/d],Mu_o_lc[cP],Mu_l_lc[cP],Do_lc[g/cm3],Dw_lc[g/cm3],Dg_lc[g/cm3],Dm_lc[g/cm3],Dl_lc[g/cm3],bo[Sm3/m3],bw[Sm3/m3],bg[Sm3/m3],Z,Rst[Sm3/Sm3],Rwst[Sm3/Sm3],rgmp[Sm3/Sm3],N32[cps],N81[cps],N356[cps],NTotal[cps],DeadTime[s],SampleTime[s],DPV[mbar],PL[bara],TL[DegC],TAMB[DegC],Dyn_DP[mbar],OperatingPointLE[1/m],OperatingPointHE[1/m],OilPointLE[1/m],OilPointHE[1/m],WaterPointLE[1/m],WaterPointHE[1/m],GasPointLE[1/m],GasPointHE[1/m]
10,10,114.03,-1.1971,3706.3,113.21,-1.2048,90068.0,113.21,-1.2048,88607.0,4.9038,0.0098382,95.086,-1.0894,97.049,33.09,-1.1045,800.63,787.73,101000.0,-1561.9,67065,169260.0,99615.0,-1562.0,68256,134.95,134.95,0.88477,1.3048,0.018115,0.060739,0.88477,0.99275,1.0064,23.903,0.94335,12.9,0.025819,0.0,43860.0,21781.0,32470.0,113660.0,0.070894,1.0,1447.6,21.37,-3.1121,18.468,1426.7,1.4235,0.95027,23.582,14.79,171.02,25.099,0.4842,0.3219
11,11,124.82,-0.48213,3838.4,123.86,-0.48522,94290.0,123.86,-0.48522,92676.0,5.0785,-0.048118,94.97,-0.38151,96.863,31.084,-0.38694,766.57,753.54,110530.0,-629.05,70134,177770.0,108990.0,-629.07,71455,131.73,131.73,0.88451,1.3047,0.018297,0.061669,0.88452,0.99231,1.0064,24.143,0.9429,13.034,0.026405,0.0,43920.0,21772.0,32427.0,113630.0,0.070864,1.0,1555.6,21.592,-2.8907,18.5,1550.6,1.6124,1.0414,23.579,14.788,171.02,25.099,0.49048,0.32608
12,12,115.85,0.11167,4093.9,114.88,0.11238,102170.0,114.88,0.11238,100640.0,4.1222,0.042086,95.836,0.094518,97.248,35.589,0.09593,895.83,882.54,102570.0,145.69,76171,173550.0,101090.0,145.7,77428,127.75,127.91,0.88417,1.3047,0.018627,0.054846,0.88468,0.99165,1.0064,24.579,0.942,13.279,0.027202,0.0,43989.0,21838.0,32489.0,113890.0,0.071039,1.0,1702.5,21.979,-2.6683,18.53,1708.2,1.6107,1.0236,23.572,14.783,171.02,25.099,0.49694,0.33037
13,13,82.182,0.39705,3823.4,81.533,0.39957,93184.0,81.533,0.39957,92121.0,3.5149,-0.052015,96.537,0.5295,97.903,53.344,0.53701,1312.5,1299.5,72760.0,518.01,69749,144930.0,71745.0,518.03,70617,129.61,130.38,0.88435,1.3046,0.018255,0.048026,0.88681,0.99217,1.0063,24.088,0.94315,13.004,0.026735,0.0,44350.0,21910.0,32573.0,114450.0,0.071303,1.0,1490.0,21.568,-2.6387,18.566,1498.6,1.4063,0.88564,23.568,14.781,171.01,25.098,0.49866,0.33151
14,14,79.779,-1.1104,3639.1,79.2,-1.1175,87222.0,79.2,-1.1175,86209.0,3.3711,-0.052584,96.681,-1.4093,97.888,46.798,-1.4289,1113.7,1100.9,70646.0,-1448.7,65279,133600.0,69692.0,-1448.8,66099,133.21,133.21,0.88466,1.3047,0.01795,0.04649,0.88466,0.99276,1.0064,23.686,0.944,12.778,0.026028,0.0,44401.0,21928.0,32624.0,114550.0,0.071344,1.0,1308.5,21.212,-2.8289,18.593,1324.4,1.2314,0.83442,23.572,14.783,171.01,25.098,0.49193,0.32704
15,15,61.205,-0.41979,3406.6,60.796,-0.42248,80481.0,60.796,-0.42248,79714.0,2.7161,0.0047601,97.279,-0.74691,98.25,57.77,-0.75699,1363.3,1350.7,54214.0,-547.72,60373,113850.0,53497.0,-547.73,60990,137.23,137.24,0.88497,1.3047,0.017733,0.041351,0.88498,0.9933,1.0064,23.4,0.94453,12.617,0.025318,0.0,44470.0,21978.0,32634.0,114690.0,0.071446,1.0,1198.6,20.947,-3.1045,18.63,1205.5,1.1604,0.76479,23.58,14.789,171.02,25.098,0.48391,0.3217
16,16,58.423,0.1446,3290.9,58.055,0.14554,77131.0,58.055,0.14554,76404.0,2.6529,0.039,97.308,0.27297,98.255,57.549,0.27643,1361.1,1348.6,51762.0,188.68,57868,108670.0,51085.0,188.68,58452,140.66,141.21,0.88523,1.3048,0.017594,0.041114,0.88684,0.9937,1.0065,23.217,0.94484,12.515,0.024753,0.0,44418.0,21981.0,32590.0,114620.0,0.071402,1.0,1141.5,20.77,-3.3563,18.658,1140.5,1.1226,0.71438,23.589,14.794,171.03,25.1,0.47797,0.31776
17,17,83.371,0.45029,3458.5,82.836,0.45323,82184.0,82.836,0.45323,81135.0,3.9343,0.034512,96.031,0.49349,97.642,42.081,0.49989,1010.3,997.62,73875.0,587.57,61434,139440.0,72891.0,587.59,62281,141.4,142.18,0.88526,1.3049,0.017776,0.05235,0.88754,0.99359,1.0065,23.457,0.94419,12.649,0.024713,0.0,44079.0,21866.0,32515.0,114000.0,0.071043,1.0,1254.7,20.956,-3.541,18.69,1239.4,1.233,0.77521,23.594,14.797,171.03,25.101,0.4768,0.31698
18,18,121.72,-0.15158,3697.4,120.87,-0.15256,89824.0,120.87,-0.15256,88266.0,5.4914,-0.069946,94.578,-0.095306,96.818,30.755,-0.096703,751.49,738.6,107840.0,-197.78,66800,177420.0,106360.0,-197.79,68071,137.98,138.19,0.88499,1.3048,0.01809,0.064796,0.88561,0.99302,1.0065,23.871,0.94329,12.881,0.025342,0.0,43858.0,21745.0,32426.0,113550.0,0.070801,1.0,1469.8,21.317,-3.4005,18.715,1453.8,1.4912,0.95869,23.593,14.796,171.04,25.101,0.48221,0.32057
19,19,125.38,-0.91073,3877.6,124.43,-0.91658,95190.0,124.43,-0.91658,93569.0,5.2629,-0.013354,94.75,-0.7381,96.891,31.346,-0.74859,769.6,756.58,111040.0,-1188.3,70810,183950.0,109490.0,-1188.3,72137,132.6,132.6,0.88458,1.3047,0.018285,0.063705,0.88458,0.9924,1.0064,24.128,0.9429,13.026,0.026261,0.0,43805.0,21747.0,32440.0,113500.0,0.07082,1.0,1568.5,21.572,-2.9745,18.743,1555.1,1.6426,1.0812,23.584,14.791,171.03,25.101,0.48959,0.32548
