Date Time qo_lc[m3/d] qw_lc[m3/d] qg_lc[m3/d] qo_sc[Sm3/d] qw_sc[Sm3/d] qg_sc[Sm3/d] qo_scnp[Sm3/d] qw_scnp[Sm3/d] qg_scnp[Sm3/d] Fo_lc[%] Fw_lc[%] Fg_lc[%] WLR[%] GVF[%] GLR[m3/m3] BSW[%] GOR[Sm3/Sm3] GOR1[Sm3/Sm3] mo_lc[kg/d] mw_lc[kg/d] mg_lc[kg/d] m_lc[kg/d] mo_sc[kg/d] mw_sc[kg/d] mg_sc[kg/d] Mu_o_lc[cP] Mu_l_lc[cP] Do_lc[g/cm3] Dw_lc[g/cm3] Dg_lc[g/cm3] Dm_lc[g/cm3] Dl_lc[g/cm3] bo[Sm3/m3] bw[Sm3/m3] bg[Sm3/m3] Z Rst[Sm3/Sm3] Rwst[Sm3/Sm3] rgmp[Sm3/Sm3] N32[cps] N81[cps] N356[cps] NTotal[cps] DeadTime[s] SampleTime[s] DPV[mbar] PL[bara] TL[DegC] TAMB[DegC] Dyn_DP[mbar] OperatingPointLE[1/m] OperatingPointHE[1/m] OilPointLE[1/m] OilPointHE[1/m] WaterPointLE[1/m] WaterPointHE[1/m] GasPointLE[1/m] GasPointHE[1/m]
07-May-2014 10:23:26 114.03 -1.1971 3706.3 113.21 -1.2048 90068 113.21 -1.2048 88607 4.9038 0.0098382 95.086 -1.0894 97.049 33.090 -1.1045 800.63 787.73 1.0100e+005 -1561.9 67065 1.6926e+005 99615 -1562.0 68256 134.95 134.95 0.88477 1.3048 0.018115 0.060739 0.88477 0.99275 1.0064 23.903 0.94335 12.900 0.025819 0.00000 43860 21781 32470 1.1366e+005 0.070894 1.0000 1447.6 21.370 -3.1121 18.468 1426.7 1.4235 0.95027 23.582 14.790 171.02 25.099 0.48420 0.32190
07-May-2014 10:24:26 124.82 -0.48213 3838.4 123.86 -0.48522 94290 123.86 -0.48522 92676 5.0785 -0.048118 94.970 -0.38151 96.863 31.084 -0.38694 766.57 753.54 1.1053e+005 -629.05 70134 1.7777e+005 1.0899e+005 -629.07 71455 131.73 131.73 0.88451 1.3047 0.018297 0.061669 0.88452 0.99231 1.0064 24.143 0.94290 13.034 0.026405 0.00000 43920 21772 32427 1.1363e+005 0.070864 1.0000 1555.6 21.592 -2.8907 18.500 1550.6 1.6124 1.0414 23.579 14.788 171.02 25.099 0.49048 0.32608
07-May-2014 10:25:26 115.85 0.11167 4093.9 114.88 0.11238 1.0217e+005 114.88 0.11238 1.0064e+005 4.1222 0.042086 95.836 0.094518 97.248 35.589 0.095930 895.83 882.54 1.0257e+005 145.69 76171 1.7355e+005 1.0109e+005 145.70 77428 127.75 127.91 0.88417 1.3047 0.018627 0.054846 0.88468 0.99165 1.0064 24.579 0.94200 13.279 0.027202 0.00000 43989 21838 32489 1.1389e+005 0.071039 1.0000 1702.5 21.979 -2.6683 18.530 1708.2 1.6107 1.0236 23.572 14.783 171.02 25.099 0.49694 0.33037
07-May-2014 10:26:26 82.182 0.39705 3823.4 81.533 0.39957 93184 81.533 0.39957 92121 3.5149 -0.052015 96.537 0.52950 97.903 53.344 0.53701 1312.5 1299.5 72760 518.01 69749 1.4493e+005 71745 518.03 70617 129.61 130.38 0.88435 1.3046 0.018255 0.048026 0.88681 0.99217 1.0063 24.088 0.94315 13.004 0.026735 0.00000 44350 21910 32573 1.1445e+005 0.071303 1.0000 1490.0 21.568 -2.6387 18.566 1498.6 1.4063 0.88564 23.568 14.781 171.01 25.098 0.49866 0.33151
07-May-2014 10:27:26 79.779 -1.1104 3639.1 79.200 -1.1175 87222 79.200 -1.1175 86209 3.3711 -0.052584 96.681 -1.4093 97.888 46.798 -1.4289 1113.7 1100.9 70646 -1448.7 65279 1.3360e+005 69692 -1448.8 66099 133.21 133.21 0.88466 1.3047 0.017950 0.046490 0.88466 0.99276 1.0064 23.686 0.94400 12.778 0.026028 0.00000 44401 21928 32624 1.1455e+005 0.071344 1.0000 1308.5 21.212 -2.8289 18.593 1324.4 1.2314 0.83442 23.572 14.783 171.01 25.098 0.49193 0.32704
07-May-2014 10:28:26 61.205 -0.41979 3406.6 60.796 -0.42248 80481 60.796 -0.42248 79714 2.7161 0.0047601 97.279 -0.74691 98.250 57.770 -0.75699 1363.3 1350.7 54214 -547.72 60373 1.1385e+005 53497 -547.73 60990 137.23 137.24 0.88497 1.3047 0.017733 0.041351 0.88498 0.99330 1.0064 23.400 0.94453 12.617 0.025318 0.00000 44470 21978 32634 1.1469e+005 0.071446 1.0000 1198.6 20.947 -3.1045 18.630 1205.5 1.1604 0.76479 23.580 14.789 171.02 25.098 0.48391 0.32170
07-May-2014 10:29:26 58.423 0.14460 3290.9 58.055 0.14554 77131 58.055 0.14554 76404 2.6529 0.039000 97.308 0.27297 98.255 57.549 0.27643 1361.1 1348.6 51762 188.68 57868 1.0867e+005 51085 188.68 58452 140.66 141.21 0.88523 1.3048 0.017594 0.041114 0.88684 0.99370 1.0065 23.217 0.94484 12.515 0.024753 0.00000 44418 21981 32590 1.1462e+005 0.071402 1.0000 1141.5 20.770 -3.3563 18.658 1140.5 1.1226 0.71438 23.589 14.794 171.03 25.100 0.47797 0.31776
07-May-2014 10:30:26 83.371 0.45029 3458.5 82.836 0.45323 82184 82.836 0.45323 81135 3.9343 0.034512 96.031 0.49349 97.642 42.081 0.49989 1010.3 997.62 73875 587.57 61434 1.3944e+005 72891 587.59 62281 141.40 142.18 0.88526 1.3049 0.017776 0.052350 0.88754 0.99359 1.0065 23.457 0.94419 12.649 0.024713 0.00000 44079 21866 32515 1.1400e+005 0.071043 1.0000 1254.7 20.956 -3.5410 18.690 1239.4 1.2330 0.77521 23.594 14.797 171.03 25.101 0.47680 0.31698
07-May-2014 10:31:26 121.72 -0.15158 3697.4 120.87 -0.15256 89824 120.87 -0.15256 88266 5.4914 -0.069946 94.578 -0.095306 96.818 30.755 -0.096703 751.49 738.60 1.0784e+005 -197.78 66800 1.7742e+005 1.0636e+005 -197.79 68071 137.98 138.19 0.88499 1.3048 0.018090 0.064796 0.88561 0.99302 1.0065 23.871 0.94329 12.881 0.025342 0.00000 43858 21745 32426 1.1355e+005 0.070801 1.0000 1469.8 21.317 -3.4005 18.715 1453.8 1.4912 0.95869 23.593 14.796 171.04 25.101 0.48221 0.32057
07-May-2014 10:32:26 125.38 -0.91073 3877.6 124.43 -0.91658 95190 124.43 -0.91658 93569 5.2629 -0.013354 94.750 -0.73810 96.891 31.346 -0.74859 769.60 756.58 1.1104e+005 -1188.3 70810 1.8395e+005 1.0949e+005 -1188.3 72137 132.60 132.60 0.88458 1.3047 0.018285 0.063705 0.88458 0.99240 1.0064 24.128 0.94290 13.026 0.026261 0.00000 43805 21747 32440 1.1350e+005 0.070820 1.0000 1568.5 21.572 -2.9745 18.743 1555.1 1.6426 1.0812 23.584 14.791 171.03 25.101 0.48959 0.32548
07-May-2014 10:33:26 109.84 -0.15712 4073.0 108.92 -0.15812 1.0164e+005 108.92 -0.15812 1.0019e+005 3.8426 0.0087993 96.149 -0.054224 97.380 41.748 -0.055074 1047.1 1033.8 97242 -204.99 75828 1.6390e+005 95841 -205.00 77022 127.30 127.46 0.88413 1.3047 0.018639 0.052009 0.88463 0.99160 1.0064 24.595 0.94199 13.288 0.027283 0.00000 44127 21868 32524 1.1412e+005 0.071149 1.0000 1687.9 21.996 -2.6262 18.757 1704.9 1.6381 1.0476 23.573 14.784 171.02 25.099 0.49745 0.33071
07-May-2014 10:34:26 69.837 -0.020997 3723.4 69.310 -0.021131 89751 69.310 -0.021131 88857 3.0079 -0.024311 97.016 0.021314 98.164 57.474 0.021603 1395.0 1382.1 61835 -27.395 67289 1.3111e+005 60989 -27.396 68015 131.21 131.43 0.88449 1.3047 0.018084 0.043831 0.88518 0.99247 1.0064 23.863 0.94364 12.877 0.026402 0.00000 44432 21951 32633 1.1466e+005 0.071555 1.0000 1393.4 21.373 -2.7033 18.778 1400.6 1.3177 0.84386 23.568 14.781 171.01 25.098 0.49745 0.33071
07-May-2014 10:35:26 66.027 -0.63003 3509.6 65.559 -0.63406 83609 65.559 -0.63406 82775 2.8540 -0.052589 97.199 -0.97169 98.181 56.195 -0.98492 1333.3 1320.6 58471 -822.00 62688 1.1794e+005 57688 -822.02 63361 134.46 134.46 0.88476 1.3047 0.017868 0.041932 0.88476 0.99294 1.0064 23.578 0.94421 12.717 0.025799 0.00000 44536 21968 32651 1.1480e+005 0.071633 1.0000 1223.4 21.115 -2.9069 18.791 1242.8 1.1210 0.74675 23.575 14.785 171.01 25.098 0.48831 0.32463
07-May-2014 10:36:26 51.300 -0.96338 3132.4 50.974 -0.96957 72909 50.974 -0.96957 72275 2.5425 -0.059364 97.517 -1.9075 98.423 63.796 -1.9324 1465.5 1453.1 45442 -1257.0 54744 99053 44855 -1257.0 55252 138.89 138.89 0.88511 1.3047 0.017484 0.038779 0.88511 0.99366 1.0064 23.071 0.94530 12.433 0.024969 0.00000 44638 22003 32636 1.1494e+005 0.071730 1.0000 1050.5 20.669 -3.1133 18.804 1060.3 1.0315 0.70522 23.584 14.791 171.02 25.099 0.47972 0.31892
07-May-2014 10:37:26 51.160 -0.92941 3008.5 50.848 -0.93541 69755 50.848 -0.93541 69125 2.5429 0.027790 97.429 -1.9007 98.362 60.994 -1.9251 1394.9 1382.5 45325 -1212.7 52359 97886 44743 -1212.7 52862 141.30 141.30 0.88529 1.3048 0.017410 0.039836 0.88530 0.99392 1.0065 22.974 0.94544 12.379 0.024588 0.00000 44474 21990 32625 1.1475e+005 0.071598 1.0000 999.33 20.570 -3.3026 18.819 994.23 0.97939 0.66741 23.592 14.796 171.03 25.099 0.47164 0.31355
07-May-2014 10:38:26 87.876 -0.14135 3258.8 87.301 -0.14226 77669 87.301 -0.14226 76563 4.3530 -0.031495 95.678 -0.16085 97.379 37.318 -0.16296 893.48 880.82 77853 -184.43 57971 1.3672e+005 76821 -184.44 58860 140.14 140.21 0.88517 1.3048 0.017804 0.055155 0.88536 0.99347 1.0065 23.493 0.94416 12.669 0.024908 0.00000 44089 21840 32471 1.1396e+005 0.071060 1.0000 1137.5 20.996 -3.4368 18.819 1124.3 1.2029 0.77467 23.594 14.797 171.03 25.100 0.47360 0.31486
07-May-2014 10:39:26 111.65 -0.18010 3519.9 110.84 -0.18126 85977 110.84 -0.18126 84539 5.1078 0.0015621 94.891 -0.14463 96.932 31.799 -0.14671 780.99 768.03 98892 -234.99 63992 1.6322e+005 97535 -234.99 65155 135.99 136.14 0.88484 1.3048 0.018199 0.062486 0.88531 0.99276 1.0065 24.015 0.94302 12.962 0.025691 0.00000 43814 21759 32408 1.1350e+005 0.070827 1.0000 1319.3 21.450 -3.2685 18.823 1304.8 1.5134 0.97513 23.590 14.795 171.04 25.101 0.48360 0.32150
07-May-2014 10:40:26 121.07 -0.37148 3721.9 120.11 -0.37386 91941 120.11 -0.37386 90366 5.2646 -0.016187 94.752 -0.30511 96.861 30.907 -0.30952 766.92 753.81 1.0719e+005 -484.67 68392 1.7592e+005 1.0569e+005 -484.68 69675 130.63 130.63 0.88442 1.3047 0.018397 0.063782 0.88442 0.99212 1.0064 24.276 0.94262 13.109 0.026627 0.00000 43803 21745 32442 1.1350e+005 0.070828 1.0000 1460.8 21.709 -2.8358 18.826 1441.2 1.6551 1.0667 23.580 14.789 171.03 25.100 0.49227 0.32727
07-May-2014 10:41:26 98.412 -0.20619 3883.6 97.545 -0.20749 97181 97.545 -0.20749 95872 3.6341 -0.0063339 96.372 -0.22390 97.558 46.973 -0.22728 1172.5 1159.2 87092 -269.00 72574 1.5331e+005 85834 -269.01 73646 124.97 124.97 0.88394 1.3046 0.018698 0.050059 0.88394 0.99133 1.0063 24.674 0.94192 13.333 0.027713 0.00000 44216 21890 32557 1.1423e+005 0.071260 1.0000 1532.7 22.083 -2.4029 18.823 1560.4 1.6166 1.0416 23.568 14.781 171.02 25.098 0.50069 0.33286
07-May-2014 10:42:26 47.474 -0.053280 3313.6 47.115 -0.053615 79097 47.115 -0.053615 78494 2.1300 0.025293 97.845 -0.097393 98.586 72.593 -0.098764 1743.0 1730.2 42021 -69.508 59458 1.0155e+005 41459 -69.510 59941 129.58 129.70 0.88438 1.3046 0.017950 0.036730 0.88477 0.99245 1.0063 23.686 0.94418 12.779 0.026607 0.00000 44578 22021 32664 1.1493e+005 0.071646 1.0000 1149.1 21.247 -2.4450 18.828 1160.6 1.2186 0.78341 23.564 14.778 171.00 25.096 0.49746 0.33071
07-May-2014 10:43:26 40.205 0.33912 3061.9 39.923 0.34126 71924 39.923 0.34126 71422 2.0275 -0.0048827 97.977 0.87850 98.699 77.392 0.89013 1845.9 1833.3 35595 442.42 54105 89824 35130 442.43 54506 132.88 134.12 0.88466 1.3046 0.017674 0.035189 0.88848 0.99299 1.0063 23.322 0.94494 12.574 0.025960 0.00000 44670 22038 32663 1.1503e+005 0.071713 1.0000 1015.9 20.924 -2.6217 18.816 1030.2 1.0061 0.63106 23.572 14.784 171.00 25.096 0.48371 0.32157
07-May-2014 10:44:26 89.262 -0.66045 3201.0 88.619 -0.66466 76667 88.619 -0.66466 75537 4.8075 -0.11278 95.305 -0.58238 97.325 37.845 -0.59066 906.42 893.69 79035 -861.68 57193 1.4246e+005 77980 -861.71 58101 133.33 133.61 0.88467 1.3047 0.017876 0.058095 0.88551 0.99284 1.0064 23.589 0.94424 12.724 0.025976 0.00000 44134 21810 32527 1.1406e+005 0.071124 1.0000 1132.3 21.134 -2.7963 18.812 1105.1 1.0971 0.72589 23.578 14.787 171.01 25.097 0.47914 0.31854
07-May-2014 10:45:26 114.84 -2.5529 3502.6 113.94 -2.5692 86164 113.94 -2.5692 84677 5.0750 -0.081109 95.006 -2.2646 96.887 31.554 -2.2977 765.25 752.20 1.0167e+005 -3330.8 64095 1.6195e+005 1.0026e+005 -3330.8 65297 130.36 130.36 0.88440 1.3047 0.018318 0.061230 0.88440 0.99217 1.0064 24.172 0.94290 13.051 0.026638 0.00000 43986 21778 32438 1.1372e+005 0.070860 1.0000 1319.9 21.628 -2.7591 18.800 1313.9 1.4017 0.98236 23.577 14.786 171.01 25.098 0.48615 0.32319
07-May-2014 10:46:26 79.116 -1.3306 3440.2 78.508 -1.3390 83267 78.508 -1.3390 82253 3.3427 -0.054881 96.712 -1.6588 97.799 45.961 -1.6826 1101.0 1088.1 70033 -1735.9 62286 1.2567e+005 69083 -1736.0 63102 130.22 130.22 0.88441 1.3046 0.018115 0.046365 0.88441 0.99235 1.0063 23.903 0.94359 12.900 0.026575 0.00000 44407 21926 32601 1.1454e+005 0.071410 1.0000 1169.4 21.415 -2.6174 18.794 1189.4 1.4144 0.96662 23.572 14.783 171.01 25.098 0.49299 0.32774
07-May-2014 10:47:26 49.098 -0.47928 3085.8 48.760 -0.48232 72591 48.760 -0.48232 71978 2.4085 -0.0043095 97.596 -0.96323 98.452 65.343 -0.97623 1532.9 1520.3 43473 -625.29 54522 96514 42906 -625.31 55011 134.26 134.26 0.88476 1.3047 0.017674 0.038503 0.88476 0.99311 1.0064 23.323 0.94487 12.575 0.025747 0.00000 44570 22005 32680 1.1491e+005 0.071636 1.0000 1000.0 20.912 -2.7652 18.783 1010.2 1.1534 0.76496 23.575 14.785 171.01 25.097 0.48606 0.32314
07-May-2014 10:48:26 31.534 -0.0012079 2703.6 31.328 -0.0012134 62962 31.328 -0.0012134 62571 1.7149 0.010698 98.274 0.21412 98.867 96.858 0.21681 2276.9 2264.4 27925 -1.5731 47404 74445 27567 -1.5732 47714 137.02 137.70 0.88498 1.3047 0.017538 0.032552 0.88702 0.99346 1.0064 23.143 0.94520 12.474 0.025269 0.00000 44729 22062 32691 1.1513e+005 0.071736 1.0000 890.40 20.742 -2.9609 18.772 897.78 0.98229 0.62934 23.582 14.790 171.01 25.098 0.47668 0.31690
07-May-2014 10:49:26 62.165 -0.13071 2894.0 61.743 -0.13155 68599 61.743 -0.13155 67817 3.4122 -0.0037398 96.592 -0.37420 97.927 50.510 -0.37908 1194.6 1182.0 55053 -170.55 51364 1.0836e+005 54331 -170.55 51986 137.29 137.48 0.88498 1.3048 0.017751 0.047292 0.88555 0.99329 1.0064 23.423 0.94447 12.630 0.025315 0.00000 44297 21915 32579 1.1441e+005 0.071281 1.0000 939.22 20.965 -3.1215 18.756 925.40 0.99396 0.64426 23.587 14.793 171.02 25.099 0.47501 0.31579
07-May-2014 10:50:26 94.062 -1.0272 3164.4 93.391 -1.0338 76722 93.391 -1.0338 75518 4.9313 -0.092110 95.161 -1.0662 97.151 34.718 -1.0810 838.33 825.46 83300 -1340.3 57178 1.4189e+005 82179 -1340.3 58142 136.14 136.14 0.88486 1.3048 0.018084 0.059641 0.88486 0.99288 1.0065 23.863 0.94340 12.877 0.025620 0.00000 44055 21794 32493 1.1389e+005 0.071014 1.0000 1085.1 21.327 -3.2141 18.741 1069.3 1.2877 0.86050 23.586 14.792 171.03 25.100 0.48197 0.32042
07-May-2014 10:51:26 143.41 -1.8036 3546.4 142.24 -1.8152 89157 142.24 -1.8152 87263 6.8133 -0.046009 93.233 -1.2955 96.176 25.519 -1.3147 637.17 623.88 1.2697e+005 -2353.3 66025 1.9768e+005 1.2516e+005 -2353.3 67565 130.68 130.68 0.88439 1.3048 0.018640 0.077032 0.88439 0.99190 1.0064 24.597 0.94180 13.288 0.026717 0.00000 43454 21614 32366 1.1291e+005 0.070431 1.0000 1431.2 21.964 -2.9897 18.733 1393.4 1.6316 1.0986 23.581 14.789 171.03 25.100 0.49246 0.32739
07-May-2014 10:52:26 168.54 -1.3844 3852.6 166.92 -1.3931 1.0033e+005 166.92 -1.3931 98032 6.7172 -0.057334 93.340 -0.80908 95.836 23.723 -0.82220 618.78 605.01 1.4910e+005 -1806.1 74144 2.1871e+005 1.4688e+005 -1806.1 76034 120.56 120.56 0.88350 1.3046 0.019280 0.076608 0.88350 0.99036 1.0063 25.442 0.94023 13.765 0.028770 0.00000 43474 21623 32264 1.1284e+005 0.070395 1.0000 1717.7 22.742 -2.2487 18.729 1716.5 2.0005 1.3180 23.565 14.779 171.02 25.099 0.50839 0.33798
07-May-2014 10:53:26 76.706 -0.67111 3717.3 75.984 -0.67528 93490 75.984 -0.67528 92463 2.6937 -0.014278 97.321 -0.89172 98.047 57.451 -0.90575 1433.4 1419.9 67840 -875.44 70016 1.2690e+005 66862 -875.47 70849 120.42 120.42 0.88354 1.3045 0.018829 0.041933 0.88354 0.99078 1.0062 24.846 0.94174 13.431 0.028589 0.00000 44480 21971 32647 1.1472e+005 0.071529 1.0000 1352.1 22.269 -1.9605 18.719 1394.5 1.7064 1.1255 23.548 14.769 171.00 25.096 0.51690 0.34364
07-May-2014 10:54:26 45.003 -0.26102 3089.2 44.642 -0.26266 74751 44.642 -0.26266 74173 2.2458 -0.030770 97.785 -0.50717 98.576 74.793 -0.51450 1817.9 1805.0 39819 -340.52 56187 96363 39283 -340.53 56648 126.49 126.52 0.88411 1.3045 0.018196 0.037248 0.88420 0.99195 1.0063 24.011 0.94352 12.961 0.027230 0.00000 44656 22019 32749 1.1507e+005 0.071762 1.0000 1038.7 21.538 -2.2611 18.721 1051.2 1.0959 0.71370 23.553 14.772 170.99 25.095 0.50373 0.33488
07-May-2014 10:55:26 31.572 -0.089663 2737.3 31.327 -0.090230 65956 31.327 -0.090230 65551 1.5309 0.046654 98.422 -0.25237 98.868 90.294 -0.25597 2187.7 2174.7 27940 -116.98 49662 76388 27566 -116.98 49983 129.28 129.40 0.88434 1.3046 0.018148 0.032009 0.88472 0.99224 1.0063 23.948 0.94353 12.926 0.026743 0.00000 44685 22070 32657 1.1507e+005 0.071746 1.0000 917.04 21.460 -2.5378 18.719 924.56 0.94209 0.61362 23.565 14.779 171.00 25.096 0.49170 0.32688
07-May-2014 10:56:26 44.739 0.010206 2735.6 44.396 0.010273 66384 44.396 0.010273 65807 2.5199 -0.029886 97.510 0.035327 98.392 62.498 0.035822 1528.8 1515.9 39597 13.317 49851 89971 39066 13.318 50307 131.29 131.53 0.88449 1.3047 0.018230 0.039674 0.88525 0.99234 1.0064 24.055 0.94315 12.985 0.026448 0.00000 44569 21995 32636 1.1481e+005 0.071607 1.0000 862.08 21.526 -2.8033 18.711 862.85 0.95645 0.61687 23.571 14.783 171.01 25.097 0.49074 0.32625
07-May-2014 10:57:26 49.454 0.24406 2839.5 49.071 0.24564 69754 49.071 0.24564 69109 2.6579 0.058575 97.283 0.45462 98.285 58.337 0.46110 1449.3 1436.2 43776 318.45 52350 97666 43180 318.46 52862 132.64 133.29 0.88457 1.3048 0.018443 0.042217 0.88658 0.99225 1.0064 24.337 0.94236 13.142 0.026312 0.00000 44356 21961 32647 1.1457e+005 0.071483 1.0000 903.57 21.738 -3.0776 18.713 896.47 1.0738 0.68039 23.574 14.785 171.02 25.099 0.49395 0.32838
