,Time,qo_lc[m3/d],qw_lc[m3/d],qg_lc[m3/d],qo_sc[Sm3/d],qw_sc[Sm3/d],qg_sc[Sm3/d],qo_scnp[Sm3/d],qw_scnp[Sm3/d],qg_scnp[Sm3/d],Fo_lc[%],Fw_lc[%],Fg_lc[%],WLR[%],GVF[%],GLR[m3/m3],BSW[%],GOR[Sm3/Sm3],GOR1[Sm3/Sm3],mo_lc[kg/d],mw_lc[kg/d],mg_lc[kg/d],m_lc[kg/d],mo_sc[kg/d],mw_sc[kg/d],mg_sc[kg/d],Mu_o_lc[cP],Mu_l_lc[cP],Do_lc[g/cm3],Dw_lc[g/cm3],Dg_lc[g/cm3],Dm_lc[g/cm3],Dl_lc[g/cm3],bo[Sm3/m3],bw[Sm3/m3],bg[Sm3/m3],Z,Rst[Sm3/Sm3],Rwst[Sm3/Sm3],rgmp[Sm3/Sm3],N32[cps],N81[cps],N356[cps],NTotal[cps],DeadTime[s],SampleTime[s],DPV[mbar],PL[bara],TL[DegC],TAMB[DegC],Dyn_DP[mbar],OperatingPointLE[1/m],OperatingPointHE[1/m],OilPointLE[1/m],OilPointHE[1/m],WaterPointLE[1/m],WaterPointHE[1/m],GasPointLE[1/m],GasPointHE[1/m]
0,0.0,0.0,0.4853718314204262,0.137336416070008,0.7351824087956025,0.48750260121621314,0.13732332090013094,0.6306823868526932,0.48750260121621314,0.13732332090013094,0.6293437886917046,0.42608515630391275,0.15090870484224345,0.5804407713498616,0.14362309273330806,0.5642927794263102,0.1901350774590211,0.14383143886886607,0.14660805564826362,0.14721922175092864,0.48611972704714634,0.13731960962894932,0.6296863045141545,0.48249763954179636,0.4874990146359409,0.13732018946076843,0.6307489103156783,0.6065948416585041,0.42488584474885815,0.6768707482992795,0.375,0.19769119769119747,0.3920618492033622,0.02748387096774252,0.7485029940119716,0.33333333333325754,0.19774011299434946,0.7905138339920939,0.19688614985403818,0.30680194341240297,0.0,0.6964436917866195,0.6071428571428612,0.5830670926517527,0.6285714285714334,0.631604459524965,0.0,0.5783036515699318,0.19851819568533458,0.5854007993364,0.6588150450477903,0.5691561156976889,0.3186441196413003,0.4767544013775169,0.6578947368421382,0.6595744680851112,0.40000000000009095,0.3571428571428896,0.21582668600435184,0.21570766293973342
1,0.0007892659826361484,0.0007892659826361484,0.5092522237901267,0.13114807080350044,0.7170414792603699,0.5114915951813914,0.1311360324086654,0.6145685289348839,0.5114915951813914,0.1311360324086654,0.6115971935617004,0.4479884065971982,0.13959308554276173,0.5601928374655643,0.13819636595174892,0.5321463897131515,0.17254386268470776,0.13839940855743457,0.12992938572607982,0.13053806500338103,0.5100547973531845,0.13113212939710459,0.6117335227893759,0.49763454611760827,0.5114893449299736,0.13113299216168944,0.614608374058909,0.600718250081619,0.4198630136986301,0.6734693877550626,0.375,0.19817219817219733,0.4112564295571447,0.025548387096772984,0.7455089820359149,0.33333333333325754,0.1981046108984872,0.7913043478260846,0.197210509244242,0.31137467847956524,0.0,0.6858594411515639,0.5900621118012452,0.4984025559105447,0.605714285714285,0.6093068347067359,0.0,0.5895444135929333,0.19677489649161028,0.590264685921122,0.6607449391067638,0.5805834568535065,0.3020244401054278,0.459383162900751,0.6842105263157805,0.6808510638297776,0.40000000000009095,0.3571428571428896,0.1942530819434376,0.1941641668939189
2,0.0015785319652722968,0.0015785319652722968,0.6130576614354515,0.12636485680190934,0.7762618690654675,0.6153668292908506,0.12635377812909124,0.6939367856356466,0.6153668292908506,0.12635377812909124,0.6882583574081718,0.5657580567248637,0.18114835583781333,0.4367768595041319,0.13621875453553756,0.4460929772502453,0.1316976387398923,0.1364153035763792,0.09526778970296335,0.09582773489299293,0.6138983664185277,0.12635004591928112,0.6880806645535029,0.6168314408037048,0.615379562235594,0.12635112735254106,0.6939902258618413,0.5279138099902054,0.36917808219178117,0.6054421768707243,0.375,0.238576238576238,0.5381696148538453,0.023096774193549052,0.6916167664670638,0.33333333333325754,0.23838162930563112,0.7557312252964437,0.23743107362958105,0.3752500714489848,0.0,0.5482641828958492,0.46118012422360266,0.34185303514377097,0.44285714285714306,0.45176926805622486,0.0,0.6987643550403073,0.24013946393549812,0.6427494155795188,0.6619130328793004,0.6691039474011079,0.350914847083654,0.5306368673202844,0.6578947368421382,0.6595744680851112,0.40000000000009095,0.3571428571428896,0.20259245830311823,0.2026179438232889
3,0.002367797947908445,0.002367797947908445,0.6647032946943252,0.16089449085123314,0.8515242378810595,0.6667553007005942,0.16087789936516564,0.7906199331425023,0.6667553007005942,0.16087789936516564,0.7850598431696243,0.5883237871782485,0.12907083361484042,0.42162534435261634,0.16148901405021748,0.4186449060336308,0.11321821180976113,0.16172026614915438,0.08377540445115844,0.08427518859059815,0.6653355045492142,0.16087372388221796,0.7848125478194337,0.6746814005884909,0.6667498751872192,0.1608743698295539,0.7905956940958925,0.39111981717270616,0.27808219178082183,0.4829931972788586,0.25,0.2864357864357858,0.5521107765650484,0.027612903225806562,0.6062874251497021,0.16666666666651508,0.2863131036996531,0.7209486166007792,0.285436263379824,0.49142612174907097,0.0,0.5723962743437738,0.44720496894409933,0.3482428115015992,0.4657142857142844,0.46146388754241485,0.0,0.7918781300069624,0.29548921333623834,0.7739612397255108,0.6637921402525113,0.7717844041635268,0.42738576519349686,0.6152089116913237,0.5789473684210975,0.5744680851063322,0.3000000000001819,0.28571428571422075,0.25145032632342357,0.2514316880283616
4,0.0031570639305445935,0.0031570639305445935,0.7181199618370764,0.09593277645186957,0.8972513743128439,0.7199357210571341,0.0959316256206309,0.8626819064395379,0.7199357210571341,0.0959316256206309,0.8563763929013621,0.5971430543095715,0.10384908646932217,0.41652892561983457,0.11981590984638867,0.39119683481701273,0.10445144247961155,0.11994871084003322,0.07675349997365138,0.07717943989250994,0.7185819892473118,0.09592747421089333,0.8558858891682151,0.7158957501760976,0.7198938434453583,0.09593070887744874,0.8626601505745608,0.28436173685928834,0.1986301369863015,0.3809523809523512,0.125,0.3398268398268387,0.5585716974030861,0.014451612903226163,0.5284431137724539,0.16666666666651508,0.3398942956077997,0.6774703557312165,0.33927992215374614,0.5907402114889964,0.0,0.5859441151566465,0.4440993788819938,0.40095846645367317,0.4914285714285711,0.49491032476975505,0.0,0.8911994899713946,0.35432556112442803,0.8660357439107156,0.6659759677402971,0.8688339971680067,0.413570019321652,0.6463670333017066,0.46052631578947967,0.4468085106382773,0.20000000000004547,0.14285714285711038,0.3001269035532994,0.30010908099263744
5,0.003946329913180742,0.003946329913180742,0.6573335085323841,0.11107647175815435,0.9999999999999998,0.6583736040139656,0.11107329002297261,1.0,0.6583736040139656,0.11107329002297261,1.0,0.43211648609481745,0.19892769933113919,0.5676308539944888,0.13185948846159248,0.48714144411473725,0.18184125226378747,0.13200674614176136,0.15686205624549876,0.15716468635561295,0.6575165425971877,0.11107131016664315,0.9999999999999998,0.6507021426466107,0.6583414352155977,0.11107004180178257,1.0,0.16944172380019573,0.11894977168949783,0.2653061224489761,0.125,0.41847041847041844,0.42085371973403596,0.011354838709676685,0.42964071856286523,0.0,0.41826134499726564,0.6079051383399161,0.41777489458319783,0.7079165475850235,0.0,0.6380186282811167,0.5760869565217419,0.4824281150159706,0.5657142857142858,0.5642268540959776,0.0,1.0,0.4380039224231851,0.9507201568509162,0.668058221856558,1.0,0.4193308284859267,0.6323107378383761,0.34210526315791867,0.3404255319148888,0.09999999999990905,0.0714285714284415,0.36620739666425006,0.36623943277883875
6,0.00473559589581689,0.00473559589581689,0.2832054570695673,0.16970564836913288,0.8193403298350825,0.28417420055955045,0.1696860410542697,0.717276858097964,0.28417420055955045,0.1696860410542697,0.7278167560874949,0.20777034021116556,0.1436004594195485,0.7994490358126729,0.1769475305607446,0.7987141444114698,0.40588988476312415,0.17720266149154418,0.35300988951149675,0.3535228460275225,0.2833824441687345,0.1696818422586951,0.7291507268553938,0.3640001398790047,0.2841658564784403,0.1696820854402524,0.7173424910844011,0.35161606268364354,0.2589041095890412,0.4557823129251233,0.125,0.23015873015873023,0.17742441349893368,0.042451612903224856,0.6212574850299291,0.16666666666651508,0.23018042646254688,0.7881422924901074,0.22964644826467717,0.5064304086881961,0.0,0.878492802709566,0.8260869565217419,0.7795527156549511,0.8542857142857159,0.8453708191953453,0.0,0.6246927664857518,0.2444977119198084,0.8827388583063117,0.6701912626585814,0.6321721056946251,0.27286352999954117,0.3838540019444543,0.3157894736842195,0.31914893617022244,0.09999999999990905,0.0,0.3539702683103707,0.3539678211071724
7,0.0055248618784530384,0.0055248618784530384,0.2796976673769845,0.14959312848050918,0.6785607196401799,0.2809891558186316,0.1495789837709656,0.5529555417659187,0.2809891558186316,0.1495789837709656,0.5589145687164672,0.22888689531433307,0.15424982385700084,0.776859504132231,0.151762246536605,0.7707715133531146,0.36846962199074873,0.15197906847795947,0.30663633648931127,0.30724240588033835,0.280048076923077,0.14957506563980227,0.559815280358509,0.32208639526809313,0.2809864151141709,0.14957573286488915,0.5530048870690794,0.5298726738491677,0.3726027397260272,0.619047619047592,0.25,0.16305916305916224,0.19641512984569054,0.027741935483870606,0.736526946107773,0.16666666666651508,0.1631128121013301,0.8387351778656154,0.16250405449237748,0.35352957987996536,0.0,0.8556308213378472,0.8043478260869605,0.7811501597444064,0.8285714285714292,0.8240426563257373,0.0,0.4830088332256792,0.1680104597951626,0.7144257597466255,0.6722735167748424,0.4838650911289052,0.1194118876591232,0.1798620140328684,0.48684210526317884,0.48936170212761,0.09999999999990905,0.0714285714284415,0.22044960116026147,0.22047995636760298
8,0.006314127861089187,0.006314127861089187,0.27776095612977675,0.1384680787589499,0.567216391804098,0.2792954750398853,0.13845515401526567,0.42930920591708865,0.2792954750398853,0.13845515401526567,0.4317375154766818,0.22313159892346976,0.19391848198515574,0.776859504132231,0.13941785936673362,0.7457962413452002,0.35867621783114745,0.13962988633213191,0.29073934198738777,0.29143504491925076,0.2782645781637717,0.13845101498759604,0.43228768171384835,0.2864672058669251,0.2792915889323909,0.1384519241394815,0.4293488310659095,0.6875612144955925,0.48242009132420094,0.7517006802721085,0.375,0.11760461760461727,0.1963367206122193,0.031870967741935985,0.8263473053892199,0.33333333333325754,0.11755057408419844,0.8687747035573068,0.11676938047356478,0.22920834524149747,0.0,0.8268416596104977,0.8027950310559007,0.7412140575079889,0.8000000000000043,0.7939893359185675,0.0,0.4107827429137061,0.11418609718892991,0.562401025563683,0.673898690719241,0.4051158053377276,0.13287076924645552,0.20396856075248027,0.6578947368421382,0.6595744680851112,0.3000000000001819,0.21428571428555188,0.14494198694706384,0.1449413689664576
9,0.007103393843725336,0.007103393843725336,0.3893703688892189,0.12524512728719175,0.5982008995502248,0.39153506439455243,0.12523083763555073,0.46688151810557077,0.39153506439455243,0.12523083763555073,0.46533223276929436,0.4052722379407908,0.0800268316458995,0.6112947658402206,0.12885936205177184,0.6246290801186944,0.23135042853352714,0.12907171241105256,0.17597797256231446,0.17667799527535546,0.39019851116625304,0.1252274052367034,0.4656246584326156,0.3995693724927938,0.3915311243660825,0.12522853800456504,0.466913221503104,0.792686908259876,0.5547945205479454,0.8333333333333144,0.5,0.12650312650312578,0.35263768661397576,0.032774193548386066,0.8622754491017872,0.5,0.12648077273555636,0.8466403162055371,0.12552708400908186,0.1593312374964273,0.0,0.7743437764606256,0.650621118012424,0.5926517571884986,0.7057142857142864,0.6975278720310243,0.0,0.4392201931062252,0.11614730878187007,0.42719251941784186,0.6755238646636398,0.4241613739307569,0.16458070995600377,0.26304014243712737,0.7763157894736992,0.7872340425531661,0.40000000000009095,0.3571428571428896,0.11675126903553323,0.11671666212162624
