Глубина манометра,Dшт,Руст,Рзаб,Рлин,Руст_1,Рзаб_1,Рлин_1,Туст,Тна шлейфе,Тзаб,Tлин,Дебит газа,Дебит ст. конд.,Дебит воды,Дебит смеси,Дебит газа_1,Дебит кон нестабильный,Дебит воды_1,Нэф,Рпл. Тек (послед точка на КВД),Рпл. Тек (Расчет по КВД),Рпл. Тек (Карноухов),Pсб,Pсб_1,Ro_c,Удельная плотность газа ,КГФ
3437.0,9.53,193.52,278.23,100.6,193.0,278.2,100.6,54.0,35.1,106.6,36.3,250.427,63.9,1.5,264.34592,1996.0,110.8,1.6,44.2,36.46,47.9,48.6,100.1,98.79101899827288,782.0,0.684,200.0
3437.0,11.11,175.23076923076923,256.21,101.2,173.0,256.2,101.2,54.0,40.9,106.5,41.0,305.587,63.0,1.7,319.31010000000003,2545.0,115.5,1.9,44.2,36.46,47.9,48.6,100.1,98.79101899827288,782.0,0.684,161.0
3437.0,12.7,153.34615384615384,234.19,101.3,154.0,234.2,101.6,56.0,45.6,106.4,46.2,344.288,69.0,0.9,359.31710000000004,3043.0,113.2,1.0,44.2,36.46,47.9,48.6,100.3,98.98840365161608,782.0,0.684,157.0
3437.0,14.29,138.1578947368421,216.9,101.4,138.0,216.8,100.2,57.0,49.3,106.43,49.7,360.232,71.1,0.8,375.71838,3320.0,116.8,0.8,44.2,36.46,47.9,48.6,100.7,99.3831729583025,782.0,0.684,154.0
3276.0,7.5,268.0,370.0389,95.0,268.0,370.1,95.4,56.0,28.6,104.98,30.4,246.611,69.9,1.2,261.47294,1967.0,114.7,1.1,44.5,39.44,48.3,45.6,94.3,93.06686405132,785.0,0.667,222.0
3276.0,9.53,262.0,364.6788075,94.9,262.0,364.6,94.9,62.0,36.3,105.18,37.5,350.087,94.4,1.4,370.15784,2970.0,154.5,1.4,44.5,39.44,48.3,45.6,93.5,92.2773254379472,785.0,0.667,212.0
3276.0,11.11,252.0,357.1199625,97.0,252.0,357.0,96.9,66.0,42.8,105.24,43.7,452.114,117.6,1.4,477.11716,3869.0,196.7,1.4,44.5,39.44,48.3,45.6,95.3,94.05378731803602,785.0,0.667,204.0
3276.0,12.7,237.40000000000003,347.44342499999993,95.7,238.0,347.5,95.8,70.0,47.5,105.23,47.9,562.202,142.0,2.1,592.3933,5012.0,235.7,2.0,44.5,39.44,48.3,45.6,94.2,92.9681717246484,785.0,0.667,198.0
3276.0,14.3,220.0,337.878345,99.8,220.0,337.7,99.3,70.0,51.8,105.16,52.1,653.254,154.7,2.3,686.14552,5733.0,264.3,2.4,44.5,39.44,48.3,45.6,98.5,97.21194177152726,785.0,0.667,186.0
3284.0,7.94,241.1195652173913,335.20000000000005,88.7,241.0,335.5,89.0,51.0,27.0,104.68,27.2,215.336,55.4,1.1,226.53898,1773.0,93.1,1.1,44.5,35.28,40.5,41.6,89.7,88.52701702442636,782.0,0.66,201.0
3284.0,9.53,240.0,328.1,91.2,240.0,328.4,91.4,59.1,34.9,104.84,35.7,312.61,72.7,1.9,325.42891000000003,2750.0,119.2,2.0,44.5,35.28,40.5,41.6,88.9,87.73747841105354,782.0,0.66,182.0
3284.0,11.11,229.0,318.0,98.0,228.0,318.3,98.9,63.3,41.4,104.85,42.5,409.227,86.3,3.5,424.73861,3583.0,143.9,3.5,44.5,35.28,40.5,41.6,91.0,89.81001727115716,782.0,0.66,165.0
3284.0,12.7,215.0,307.8,98.6,215.0,308.1,97.2,65.0,45.8,104.78,46.3,479.085,93.5,4.7,495.62985,4165.0,156.8,4.8,44.5,35.28,40.5,41.6,94.4,93.16555637799162,782.0,0.66,153.0
3284.0,14.29,198.0,293.6,98.5,197.0,293.9,98.4,66.9,49.8,104.63,50.5,568.497,106.6,6.4,587.3609399999999,5113.0,174.3,6.5,44.5,35.28,40.5,41.6,94.0,92.7707870713052,782.0,0.66,147.0
